273    12 26 31.8   5.0  02 20.6   5.0  290   64    67. *   <12. "
274    12 28 18.0   0.5  12 40.1   0.5  284   75   970.       4.7' 0.4
274.1  12 32 57.2   3.0  21 36.1   3.0  270   83    15.0    < 3.0'
275    12 39 49.    6.  -04 39.    7.   299   58     9.5    < 3.0'
275.1  12 41 27.9   3.0  16 42.6   5.0  293   79    16.0    < 3.0'
277    12 49 28.5   3.0  50 52.1   3.0  123   67    12.5      4.0' 2.0  Possibly two sources.
277.1  12 50 18.   18.   57 12.   45.   123   60    12.0    < 3.0'
277.2  12 51 03.   12.   15 48.   45.   306   78     9.5    < 3.0'
277.3  12 51 47.7   3.0  27 53.2   3.0   72   89    11.5    < 3.0'
280    12 54 42.8   0.5  47 36.1   1.0  120   70    20. *   <40. "
280.1  12 58 14.2   3.0  40 23.2   3.0  115   77    11.0    < 3.0'
284    13 08 43.3   3.0  27 42.0   3.0   38   86    10.5      3.0' 2.0
285    13 19 07.7   2.0  42 51.7   2.0  103   73    10.5      3.0' 2.0
287    13 28 17.0   3.0  25 25.6   3.0   23   81    14.0*   <12. "
286    13 28 50.0   1.0  30 45.6   1.0   57   81    21. *   < 1.5'
287.1  13 30 21.0   5.0  02 19.3   5.0  326   63    11.5      4.0' 2.0
288    13 36 38.    3.   39 04.    4.    86   75    14.5*   <40. "
288.1  13 40 48.   18.   60 12.   45.   112   56     9.5    < 3.5'
289    13 43 29.2   3.0  50 00.9   3.0  102   65     9.5    < 2.5'
293    13 50 03.0   3.0  31 39.3   3.0   54   76    12.0*   < 2.5'
293.1  13 52 21.   12.   16 42.   45.     0   72     9.5    < 3.0'
294    14 04 35.    6.   34 32.    8.    62   72     9.0*   <40. "
295    14 09 33.8   1.5  52 28.0   1.5   98   61    73.     <12. "
296    14 14 23.   15.   08 31.   15.   354   62    12.5      3.0' 1.5  Possibly two sources.
297    14 14 45.    7.  -03 58.    9.   340   52     9.5                 4'<d<10'
298    14 16 38.9   1.0  06 41.5   1.0  352   61    44. *   < 4. "
299    14 19 07.5   1.5  41 58.6   1.5   77   67    11.0*   < 2. "
300    14 20 40.2   3.0  19 50.8   3.0   18   68    16.0    < 2.0'
300.1  14 26 06.    9.  -01 24.   45.   346   53    10.5    < 3.0'
303    14 41 24.4   3.0  52 17.7   3.0   91   58    12.5    <40. "
303.1  14 44 06.   30.   77 12.   45.   115   38    11.5      2.3' 1.5
305    14 48 09.   12.   63 33.   15.   103   49    13.5    <12. "
305.1  14 48 24.   30.   76 54.   45.   115   39    11.5    < 3.0'
306.1  14 52 45.   18.  -03 48.   45.   352   47    12.5    < 3.0'
309.1  14 59 42.   24.   72 42.   45.   111   41    17.0    < 2.0'      Possibly two sources at same R.A.
310    15 02 49.7   1.0  26 13.3   0.5   39   60    51.       1.6' 0.8
313    15 08 32.6   1.5  08 01.1   1.5    9   52    28.       2.5' 1.5
314.1  15 10 48.   24.   71 18.   45.   109   42     9.0    < 3.0'
315    15 11 31.2   3.0  26 17.7   3.0   39   58    17.5    < 2.0'
317    15 14 17.7   1.0  07 11.2   1.0    9   50    43. *   <40. "
318    15 17 51.4   3.0  20 27.6   3.0   30   55    10.0*   <15. "
318.1  15 19 23.8   1.0  07 50.3   1.5   11   49    11.0    < 3.0'
319    15 22 48.    6.   54 39.    4.    88   51    17.0*   < 2.5'
320    15 29 37.    5.   35 53.    6.    57   55    11.5*   <40. "
321    15 29 40.4   3.0  24 12.6   3.0   37   54    12.5    <40. "
322    15 34 08.    8.   56 05.    7.    89   49     9.5    < 3.0'
323    15 40 57.    8.   60 18.   10.    94   46     9.5      2.7' 2.0
323.1  15 45 32.6   3.0  21 03.3   3.0   34   49     9.0    < 3.0'
324    15 47 39.0   3.0  21 35.7   3.0   35   49    11.5*   <40. "
325    15 49 08.   10.   62 50.    4.    96   44    10.5    <40. "
326    15 50 13.8   3.0  20 16.3   3.0   33   48    10.0      1.7' 1.7
326.1  15 53 58.0   3.0  20 14.1   3.0   34   47     9.0    < 3.0'
327    15 59 59.0   1.0  02 03.4   2.0   12   38    40.       3.7' 1.0
327.1  16 02 13.8   1.0  01 24.1   1.5   12   37    24.     < 2.0'
330    16 08 59.   10.   66 10.    6.    99   41    24.     < 2.0'
332    16 15 46.7   3.0  32 28.0   3.0   53   45    10.5    < 3.0'      Flux uncertain: confused.
334    16 18 06.8   3.0  17 31.6   5.0   33   41    10.0*   <40. "
336    16 22 32.8   3.0  23 52.1   3.0   41   42    13.5*   <40. "
341    16 26 04.7   3.0  27 48.5   3.0   47   42    10.5    < 3.0'
338    16 26 56.7   1.0  39 39.9   0.75  63   44    41.     < 2.0'
337    16 27 16.    6.   44 20.    5.    69   44    17.0    < 3.0'
340    16 27 30.1   3.0  23 29.6   3.0   41   41    11.0    < 3.0'
343    16 34 18.   18.   62 48.   45.    94   39     9.5    < 3.0'
343.1  16 38 06.   18.   62 48.   45.    93   39     9.0    < 3.0'
345    16 41 18.6   3.0  39 51.0   3.0   63   41    10.0*   <12. "
346    16 41 34.7   3.0  17 19.7   3.0   35   36    11.0*   <15. "
348    16 48 40.3   1.0  05 03.8   1.0   23   29   325.       3.2' 0.6  Double. See William et al., 1961Obs....81...64W
349    16 58 10.    4.   47 08.    6.    73   38    12.0*   <40. "
351    17 04 03.    6.   60 48.    5.    90   36    11.0    < 3.0'
352    17 09 15.    4.   46 02.    4.    72   36    11.0*   <12. "
353    17 17 56.1   1.0 -00 57.0   1.5   21   20   203.       4.0' 0.6
356    17 23 06.0   3.0  51 00.5   3.0   78   34    14.5      1.5' 1.5
357    17 26 26.6   3.0  31 47.0   3.0   56   31     9.0    < 3.0'
363.1  17 50 30.   30.   05 36.   60.    31   16    90.      60.0'12.
368    18 02 42.    5.   10 57.    6.    38   15    14.0    < 3.5'
371    18 07 04.   12.   69 55.   20.   100   29     9.5    < 3.0'
372.1  18 12 42.   18.  -03 36.   45.    26    6    41.      35. ' 6.
379.1  18 26 24.   24.   74 24.   45.   105   28     9.5    < 3.5'
