   RA(2000)  Dec(2000)    Flux
 h  m    s    d  m   s      Jy
00 26 56.05 +10 29 42.5   2.78
00 26 56.25 -23 00  2.3   0.93
00 26 57.24 -13 18 41.2   3.37
00 26 57.25 +25 36 55.9   0.58
00 26 57.43 -24 17 48.7   0.75
00 26 57.51 +53 14 43.6   1.12
00 26 58.16 -28 35 16.3   1.27
00 26 59.96 +13 46  0.5   5.94
00 27  0.48 -16 36 19.2   1.51
00 27  2.33 -12 17 22.1   0.94
00 27  2.91 +18 11 38.6   1.68
00 27  3.71 +30 54 32.2   0.59
00 27  5.89 +09 29 57.6   1.66
00 27  5.98 +08 13  2.2   0.53
00 27  6.40 +63 34 35.6   1.16
00 27  7.64 +32 46 39.7   4.01
00 27  9.30 -03 32 51.8   0.98
00 27 10.58 -12 48 27.1   5.16
00 27 10.67 +17 05 26.3   1.85
00 27 11.28 +28 58 58.7   2.24
00 27 12.42 +16 31 12.2   0.43
00 27 12.66 +12 51 56.3   5.29
00 27 12.69 -16 14 25.7   1.19
00 27 13.01 +31 14 12.0   1.34
00 27 13.18 +16 32 57.0   0.43
00 27 13.31 +01 36 44.5   1.50
00 27 13.39 +46 16 45.3   0.61
00 27 13.87 +47 49 15.9   0.75
00 27 14.11 +17 35 19.6   0.53
00 27 14.70 +29 39 59.8   0.90
00 27 15.18 +22 42  0.0   1.46
00 27 15.87 +41 45 57.5   1.08
00 27 15.94 -16 52  4.3   0.69
00 27 19.22 +02 24 31.4   1.96
00 27 19.66 +08 23 53.4   0.86
00 27 20.36 +18 16 37.8   0.36
00 27 21.21 -28 02  4.3   0.59
00 27 25.22 -03 49 53.0   6.40
00 27 25.59 +51 24 24.8   1.28
00 27 26.05 +05 02 21.4   1.57
00 27 29.59 -27 31 12.2   5.09
00 27 29.66 +25 55 36.4   3.66
00 27 29.74 +21 11 48.4   1.84
00 27 31.02 +21 04  3.2   0.73
00 27 32.46 +14 45 48.2   0.55
00 27 32.59 +47 20 51.6   1.80
00 27 34.43 +43 04 40.1   0.61
00 27 35.43 +12 53 31.5   7.20
00 27 35.48 -03 18  4.2   2.05
00 27 36.49 +03 01 15.5   2.71
00 27 39.03 +00 59 53.9   4.16
00 27 43.08 +75 53 13.5   0.79
00 27 44.04 -18 13 31.8   1.11
00 27 44.10 -28 01  7.3   0.78
00 27 44.32 +26 16 29.1   0.49
00 27 47.76 -13 13 13.6   1.00
00 27 50.49 +03 22 31.7   1.42
00 27 50.80 +09 42  1.7   2.54
00 27 51.62 -22 29 17.4   0.75
00 27 52.84 +16 42 45.8   0.48
00 27 53.44 -20 07 41.7   2.39
00 27 56.11 +21 49 44.7   0.52
00 27 56.47 +33 35 49.0   3.00
00 27 56.52 +10 41 18.8   0.63
00 27 57.12 -05 29  2.4   1.41
