Results from heasarc_nvss: NRAO VLA Sky Survey Catalog
Coordinate system:  Equatorial
lii      |bii      |flux_20_cm|flux_20_cm_error
146.56341|-17.78392|    1064.9|            37.8
137.25082|-57.64772|    1065.6|            32.0
256.65953| 52.30323|    1065.6|            37.1
108.54562| 44.09652|    1066.3|            33.9
203.64399| 13.90853|    1066.7|            32.0
108.25093| 42.18440|    1066.8|            33.9
351.12841| 46.61941|    1067.0|            37.4
356.58845| 14.64148|    1067.4|            32.0
161.40608|-44.55724|    1067.7|            32.0
129.55346| -3.90543|    1068.5|            34.9
 49.43971| -2.98468|    1068.5|            36.8
260.20318| 43.39630|    1069.0|            37.4
 90.09372|  9.66460|    1069.1|            32.1
319.05440| 23.61105|    1069.1|            32.1
105.68599|-48.50372|    1069.5|            35.1
328.80239| 19.65802|    1070.3|            34.4
206.08999| 13.67302|    1070.4|            37.6
212.09150| 40.69187|    1070.6|            32.1
 99.65384| 33.69172|    1071.1|            33.3
 82.04681|  2.32015|    1071.8|            32.8
227.97859| 58.89998|    1071.9|            32.2
135.65382| 24.89616|    1073.6|            39.9
 55.39823|-17.23758|    1074.1|            32.2
243.45472|-19.95399|    1074.2|            34.5
354.29783| 63.55102|    1074.4|            35.9
 80.95323| -0.15607|    1074.5|            33.1
187.56237|-33.62353|    1074.7|            33.9
330.10942| 22.30569|    1074.7|            32.2
 24.89134| -1.71031|    1074.8|            38.0
249.09059|  5.21182|    1075.0|            37.9
111.49570| -2.34963|    1075.1|            34.4
213.79433|-51.18050|    1075.2|            38.0
 20.41650| 28.41220|    1075.7|            33.4
136.48213|-63.69425|    1076.2|            32.3
155.35807|  5.13339|    1076.3|            36.5
236.48188|-31.80997|    1077.1|            34.3
245.00754| 46.98224|    1077.1|            32.3
  1.67216| 51.95512|    1077.6|            40.5
 59.79767|  0.23625|    1077.8|            33.5
  1.91479| 30.45573|    1078.3|            34.1
 15.18775| -0.60307|    1078.7|            33.5
306.29666| 54.71840|    1078.8|            34.2
 14.96047| -0.37297|    1078.9|            33.1
357.78185|  4.55264|    1079.0|            32.4
132.06376|  0.20885|    1079.3|            38.0
104.05581|-19.54057|    1079.5|            34.3
205.51137| 50.98159|    1080.1|            32.4
 58.28596|-12.94935|    1080.2|            35.0
 61.89913|-46.69275|    1080.2|            33.3
 25.12317| 38.18915|    1080.5|            38.2
 58.57695|-64.36834|    1080.8|            32.4
 76.29436|  5.88243|    1081.7|            33.3
 87.90862| 31.75338|    1082.4|            36.2
200.96529|-82.30760|    1082.5|            32.5
152.71646| 47.42046|    1082.8|            32.5
155.87891| 43.23753|    1082.9|            32.5
173.60493|  2.80868|    1083.0|            32.9
 82.96077|-49.78297|    1083.2|            36.6
162.28887| 23.03566|    1083.4|            35.8
173.47444|-74.09743|    1084.3|            32.5
250.86995| -0.61107|    1084.4|            32.5
 48.13128|  4.04793|    1084.4|            35.6
 18.08234|-56.41321|    1084.5|            36.1
 17.87260|-62.52976|    1084.8|            32.5
137.97046| 16.50830|    1084.9|            34.7
103.99761|-61.82282|    1085.1|            32.6
 58.80176|-35.33799|    1085.7|            37.7
 66.03868| 64.62771|    1085.8|            38.3
  0.82532| -0.31882|    1086.2|            33.7
208.52641|-37.84532|    1086.5|            32.6
 51.35364|-33.92376|    1086.6|            32.6
 92.52251|-38.19185|    1087.1|            40.3
 32.85895| 21.24552|    1087.5|            32.6
 10.97613|  3.00340|    1088.4|            32.7
 35.52977|-46.58995|    1088.8|            32.7
 36.55084|  0.00184|    1089.6|            32.7
212.37439| 66.90866|    1090.0|            34.1
141.68353| 33.46660|    1090.0|            36.0
178.22763| 33.40206|    1090.7|            32.7
230.26646|-40.74232|    1090.7|            38.2
  9.13033|-43.35811|    1090.7|            32.7
254.68270|  0.21236|    1091.2|            35.8
137.08683|-58.31902|    1091.2|            34.9
237.16375| 17.41941|    1091.4|            36.3
  2.21163| 65.91335|    1091.6|            32.8
 57.74337|-70.69905|    1091.8|            38.6
112.63117| 64.75597|    1092.6|            37.3
126.13997|-36.92946|    1093.3|            32.8
149.37911| 40.76047|    1093.4|            32.8
359.77427| -0.57950|    1094.2|            33.4
 90.78898| 41.30303|    1094.4|            32.8
 33.11904| 47.57484|    1094.5|            32.8
 76.33019|  6.27054|    1095.1|            33.7
210.70105| 54.43088|    1095.5|            32.9
215.21201|-24.28360|    1095.8|            32.9
104.87146| 61.35411|    1096.2|            38.7
235.20897| 13.16505|    1096.2|            32.9
 88.68215|  7.28762|    1096.3|            37.6
